 1402-08= ACATENANGO                     GUATEMALA             14.501  -90.876   3976 STRATOVOLCANO        HISTORICAL              D1 
 1402-10= AGUA                           GUATEMALA             14.465  -90.743   3760 STRATOVOLCANO        HOLOCENE                U  
 1402-04= ALMOLONGA                      GUATEMALA             14.820  -91.480   3197 STRATOVOLCANO        HISTORICAL              D3 
 1203-20- AMBOY                          US-CALIFORNIA         34.550 -115.780    288 CINDER CONE          HOLOCENE                U  
 1403-01= APANECA RANGE                  EL SALVADOR           13.891  -89.786   2036 STRATOVOLCANOES      HOLOCENE                U  
 1403-071 APASTEPEQUE FIELD              EL SALVADOR           13.720  -88.770    700 VOLCANIC FIELD       HOLOCENE                U  
 1404-091 APOYEQUE                       NICARAGUA             12.242  -86.342    518 PYROCLASTIC SHIELD   RADIOCARBON             D7 
 1403-101 ARAMUACA, LAGUNA               EL SALVADOR           13.428  -88.105    180 MAAR                 HOLOCENE                U  
 1402-06= ATITLAN                        GUATEMALA             14.583  -91.186   3535 STRATOVOLCANO        HISTORICAL              D3 
 1401-094 ATLIXCOS, CERRO LOS            MEXICO                19.809  -96.526    800 SHIELD VOLCANO       HOLOCENE                U  
 1401-02= BARCENA                        MEXICO-IS             19.300 -110.820    332 CINDER CONES         HISTORICAL              D2 
 1210-01- CARRIZOZO                      US-NEW MEXICO         33.780 -105.930   1731 CINDER CONE          HOLOCENE                U  
 1401-03= CEBORUCO                       MEXICO                21.125 -104.508   2280 STRATOVOLCANO        HISTORICAL              D3 
 1401-08= CHICHINAUTZIN                  MEXICO                19.080  -99.130   3930 VOLCANIC FIELD       RADIOCARBON             D6 
 1401-12= CHICHON, EL                    MEXICO                17.360  -93.228   1150 TUFF CONES           HISTORICAL              D1 
 1403-09= CHINAMECA                      EL SALVADOR           13.475  -88.320   1228 STRATOVOLCANO        HOLOCENE                U  
 1402-15- CHINGO VOLC FIELD              GUATEMALA             14.120  -89.730   1775 STRATOVOLCANO        HOLOCENE                U  
 1402-20- CHIQUIMULA VOLC FIELD          GUATEMALA             14.830  -89.550   1192 CINDER CONES         HOLOCENE                U  
 1404-132 CIGUATEPE, CERRO EL            NICARAGUA             12.530  -86.142    603 STRATOVOLCANO        HOLOCENE?               ?  
 1403-051 CINOTEPEC, CERRO               EL SALVADOR           14.020  -89.250    665 VOLCANIC FIELD       HOLOCENE                U  
 1403-041 COATEPEQUE CALDERA             EL SALVADOR           13.870  -89.550    746 CALDERA              HOLOCENE                U  
 1401-096 COFRE DE PEROTE                MEXICO                19.492  -97.150   4282 SHIELD VOLCANO       RADIOCARBON             D6 
 1401-04= COLIMA                         MEXICO                19.514 -103.620   3850 STRATOVOLCANOES      HISTORICAL              D1 
 1401-012 COMONDU-LA PURISIMA            MEXICO                26.000 -111.920    780 VOLCANIC FIELD       HOLOCENE?               ?  
 1403-11= CONCHAGUA                      EL SALVADOR           13.277  -87.853   1250 STRATOVOLCANO        UNCERTAIN               ?  
 1403-12= CONCHAGUITA                    EL SALVADOR           13.220  -87.765    550 STRATOVOLCANO        HISTORICAL              D3 
 1401-005 CORONADO                       MEXICO                29.080 -113.513    440 STRATOVOLCANO        FUMAROLIC               U  
 1404-01= COSIGUINA                      NICARAGUA             12.980  -87.570    872 STRATOVOLCANO        HISTORICAL              D3 
 1402-121 CUILAPA-BARBARENA              GUATEMALA             14.330  -90.400   1454 VOLCANIC FIELD       HOLOCENE                U  
 1401-098 CUMBRES,  LAS                  MEXICO                19.150  -97.270   3940 STRATOVOLCANO        RADIOCARBON             D7 
 1401-022 DURANGO VOLC FIELD             MEXICO                24.150 -104.450   2075 CINDER CONES         HOLOCENE                U  
 1404-131 ESTELI                         NICARAGUA             13.170  -86.400    899 FISSURE VENTS        HOLOCENE?               ?  
 1402-14- FLORES                         GUATEMALA             14.300  -90.000   1600 VOLCANIC FIELD       HOLOCENE                U  
 1402-09= FUEGO                          GUATEMALA             14.473  -90.880   3763 STRATOVOLCANO        HISTORICAL              D1 
 1401-097 GLORIA, LA                     MEXICO                19.330  -97.250   3500 VOLCANIC FIELD       HOLOCENE                U  
 1401-006 GUADALUPE                      MEXICO                29.070 -118.280   1100 SHIELD VOLCANO       HOLOCENE                U  
 1403-052 GUAZAPA                        EL SALVADOR           13.900  -89.120   1438 STRATOVOLCANO        HOLOCENE                U  
 1401-093 HUMEROS, LOS                   MEXICO                19.680  -97.450   3150 CALDERAS             HOLOCENE?               ?  
 1403-06= ILOPANGO                       EL SALVADOR           13.672  -89.053    450 CALDERA              HISTORICAL              D3 
 1402-19- IPALA VOLC FIELD               GUATEMALA             14.550  -89.630   1650 STRATOVOLCANO        HOLOCENE                U  
 1402-18- IXTEPEQUE                      GUATEMALA             14.420  -89.680   1292 LAVA DOMES           HOLOCENE                U  
 1403-03= IZALCO                         EL SALVADOR           13.813  -89.633   1950 STRATOVOLCANO        HISTORICAL              D1 
 1401-082 IZTACCIHUATL                   MEXICO                19.179  -98.642   5230 STRATOVOLCANO        HOLOCENE                U  
 1401-004 JARAGUAY VOLC FIELD            MEXICO                29.330 -114.500    960 CINDER CONES         HOLOCENE                U  
 1401-061 JOCOTITLAN                     MEXICO                19.724  -99.757   3900 STRATOVOLCANO        RADIOCARBON             D6 
 1404-133 LAJAS, LAS                     NICARAGUA             12.300  -85.730    926 SHIELD VOLCANO       HOLOCENE?               ?  
 1203-19- LAVIC LAKE                     US-CALIFORNIA         34.750 -116.625   1495 VOLCANIC FIELD       HOLOCENE                U  
 1401-091 MALINCHE, LA                   MEXICO                19.230  -98.030   4503 STRATOVOLCANO        RADIOCARBON             D7 
 1401-031 MASCOTA VOLC FIELD             MEXICO                20.620 -104.830   2540 SHIELD VOLCANOES     HOLOCENE                U  
 1401-06= MICHOACAN-GUANAJUATO           MEXICO                19.480 -102.250   3860 CINDER CONES         HISTORICAL              D2 
 1404-09= MOMOTOMBO                      NICARAGUA             12.422  -86.540   1297 STRATOVOLCANO        HISTORICAL              D2 
 1402-13- MOYUTA                         GUATEMALA             14.030  -90.100   1662 STRATOVOLCANO        HOT SPRINGS             U  
 1401-095 NAOLINCO VOLC FIELD            MEXICO                19.670  -96.750   2000 PYROCLASTIC CONES    HOLOCENE                U  
 1404-07= NEGRO, CERRO                   NICARAGUA             12.506  -86.702    728 CINDER CONES         HISTORICAL              D1 
